target,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
0,B,0.6563383140601218,97.1795,0.5108235945390305,-0.4691429244052565,0.36350915353548907,4.662102410761606,0.001675269566476345,55.3846,0.2839935924857855,14.863314264472727,B,0,C,0.14913516131084964,0.33814833924372445,A,C,45.14494807913628,0.5243211555470442
0,C,0.7726651022676378,96.0256,0.8492663288727109,1.6547184585117418,0.6113035291477004,2.4442949926183983,0.8192642624489963,51.5385,0.05521929054521024,19.15776164743274,D,1,C,0.6617066030866686,1.627777436694538,C,NA,2602.7239800119046,0.8117693796977775
0,D,0.7468325574882329,94.4872,0.65183765329021,-1.2549159675461183,0.2647008569891981,1.8356387662933722,-0.5847260928712785,46.1538,0.3778742903377861,22.168641710673057,D,1,C,0.44113285727598056,1.4927828159772072,C,D,17954.312947940263,0.37540779873488844
0,A,0.8416059706360102,91.4103,0.2762866191950093,1.5365145636682451,0.04438553892526286,0.030770722440031095,0.6290435632690787,42.8205,0.5302238808944821,12.797387673185499,B,0,A,0.45726078224648725,0.18038591854278863,A,C,13.518534958198229,0.7369378365603788
0,A,0.8274476444348693,88.3333,0.17968260305507128,-1.484292701243847,0.4070046261079226,3.1145226486934425,-0.2961026360280812,40.7692,0.25097806937992573,16.95814025797298,A,0,C,0.22632576440587723,0.28960183166729325,A,B,549.4158112991145,1.3897764045204821
0,B,0.46885894890874624,84.8718,0.48593175022630525,-0.33507746456490517,0.5006274345236235,4.996650173216797,-0.16080354200676084,38.7179,0.9440864925272763,15.731105713013285,A,0,C,0.04156827483726348,0.26451771437762506,NA,C,44.261046633983916,0.27522372691118835
0,A,0.17200778471305966,79.8718,0.5467889913417925,0.7989177239404479,0.1590033652978961,2.12119322211216,0.22788641741499305,35.641,0.4374882709234953,17.8789448029903,B,0,B,0.16244979440806795,0.3249635113923035,A,B,9353.168572241257,1.9310636713417733
0,A,0.9829604825936258,77.5641,0.6001077320383472,2.277608667368168,1.457774038515759,3.8037154780254556,0.9417234542779624,33.0769,0.7010668076109141,10.072806169018648,C,1,C,0.9655187630998598,0.8070395520164482,B,B,2.7412273098073263,0.33140678827459813
0,B,0.4019556175917387,74.4872,1.4617502015462187,0.7133706384603105,0.010149384654596888,2.936119049341744,0.29828088777139783,28.9744,0.17584789195097983,19.582444613300314,A,1,C,0.1651836731937597,0.8394440461236445,NA,A,5462.730341380745,0.8122801685299534
0,C,0.7661615444812924,71.4103,0.5226737735191426,-0.5767157939813772,1.0111733448173643,0.37502126047604234,-0.19058451522141695,26.1538,0.24197482271119952,11.605237926957777,B,0,A,-0.14213236432438828,0.6018043456703802,A,D,24.485206233060804,0.57956286055873
0,C,0.09201697469688952,66.4103,0.9496170979886133,-0.8686758357593564,0.22714414520865947,2.0487510904907333,-0.3746094829402864,23.0769,0.023683182895183563,18.706726244197302,C,0,A,-0.14020564668780933,0.6619098454773764,A,C,9885.61090795285,0.5600020241983023
0,B,0.895406560273841,61.7949,1.088239982071893,0.5465343647289425,0.8680047940238453,3.9983699367655503,0.27518851310014725,22.3077,0.3287710486911237,15.629803494006522,D,0,C,0.18174587740415893,0.4856938850795123,B,B,704.4592477985402,1.3470710079174326
0,A,0.8008786188438535,57.1795,0.7720089399654709,-2.4932623534140483,0.9459925891488059,2.4854823063040774,-0.8989536589942873,22.3077,0.41309142555110157,11.692189445511996,B,0,C,0.8825949641983658,0.31586866635444977,A,B,17.19269490170438,1.082727936763918
0,A,0.6293376369867474,52.9487,0.42226688527506095,-1.7054395004297962,0.5588495185126557,0.6797554362047966,-0.85986966220662,23.3333,0.10875455569475889,14.270030487761098,D,1,A,0.7848478332429563,0.6901084687137319,C,B,191.25827657376217,0.4946380996072356
0,C,0.6359660236630589,51.0256,1.3048518989090045,-1.2221206658856083,0.6736262591574186,-0.2248003757775181,-0.8912034444510937,25.8974,0.8520522601902485,18.445546961121746,D,1,B,0.8271260871377372,1.6688483402569283,C,C,214.6006134143083,0.7671643356322423
0,C,0.9018205320462584,51.0256,0.5827444973762048,1.1172917349750666,0.20425857807514108,3.376263773182122,0.16841761395335197,29.4872,0.009059938602149487,12.327905164586436,B,0,C,0.031980992436539755,0.40202582593520686,A,C,15.384165426421957,0.9046453480937267
